,sampleSize,sampleId,max_depth,min_samples_leaf,GeneralizedError,ModelTime
67,33,8,17,1,2.8688255763009,1.7740042209625244
68,33,9,16,1,3.4506564588044673,1.7869970798492432
69,33,10,12,2,3.342082792146709,1.6920008659362793
70,33,11,13,2,3.5841243537509957,1.7700002193450928
71,33,12,24,2,3.1101441713223568,1.8600003719329834
72,33,13,18,1,2.7192538193369646,1.8329999446868896
73,33,14,19,1,3.1199530766459014,1.7569973468780518
74,33,15,13,1,5.095630158763463,1.6060295104980469
75,33,16,4,1,2.6839762092252655,1.7329716682434082
76,33,17,4,1,4.7249273534347,1.7570488452911377
77,33,18,7,7,5.235588718424293,1.874955177307129
78,33,19,22,1,2.975703108927553,1.887176513671875
79,33,20,14,3,4.767367331193297,1.6650288105010986
80,33,21,5,1,3.0566550889580273,1.672114372253418
81,33,22,19,1,4.220693361964938,1.6559994220733643
82,33,23,19,1,3.4454356627689515,1.6410012245178223
83,33,24,22,1,2.288205741250107,1.623997449874878
84,33,25,2,1,4.0945222576543685,1.619964361190796
85,33,26,3,1,5.209689669122889,1.6169993877410889
86,33,27,14,1,2.99365601029114,1.6590335369110107
87,33,28,14,2,3.0163517653910272,1.6249966621398926
88,33,29,16,1,2.783901621828416,1.6189980506896973
89,33,30,12,1,2.4335982471757815,1.6380043029785156
90,44,1,23,1,2.5881867057518515,1.6509993076324463
91,44,2,9,2,2.5912907412294994,1.6619665622711182
92,44,3,19,1,2.01044894737813,1.79209566116333
93,44,4,5,1,2.191478366293862,1.7215569019317627
94,44,5,16,1,2.456886446510362,1.662064790725708
95,44,6,12,1,2.3179127125402794,1.8254714012145996
96,44,7,11,2,3.5205409798354848,1.9085674285888672
97,44,8,4,2,2.6408107087343726,1.976978063583374
98,44,9,21,1,2.0048010414159,1.8479914665222168
99,44,10,4,1,2.623270341034389,1.823002576828003
100,44,11,5,1,4.474367798934062,1.8540005683898926
101,44,12,5,1,2.056925509213654,1.8259994983673096
102,44,13,16,3,3.35461789856357,1.8419997692108154
103,44,14,5,2,3.9265742022679073,1.8450002670288086
104,44,15,8,1,2.0797294728220637,1.8580000400543213
105,44,16,16,2,2.728844540365707,1.8529996871948242
106,44,17,4,1,3.014650712684867,1.8380000591278076
107,44,18,23,1,2.3191165001294314,1.8349997997283936
108,44,19,15,1,2.3690062089109616,1.8260002136230469
109,44,20,12,1,2.3130953411482214,1.6670269966125488
110,44,21,11,1,2.381374620056713,1.6380069255828857
111,44,22,7,1,2.545559818044043,1.639963150024414
112,44,23,7,1,2.2883765100348374,1.6489999294281006
113,44,24,4,1,2.709726916356996,1.627000093460083
114,44,25,13,1,3.1677073038482244,1.6470296382904053
115,44,26,11,1,2.3311581612199728,1.650001049041748
116,44,27,4,1,2.1634621615131944,1.6319942474365234
117,44,28,18,1,3.8492186494611684,1.6330087184906006
118,44,29,8,1,3.119799635816118,1.6800010204315186
119,44,30,19,1,2.170024506691955,1.7189958095550537
